Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result
2022_Tennessee,SEC,35,27,111.334,87.13,0.94357,50.7136,46.433,17.7121,3.0,32.0
2022_Villanova,BE,38,30,117.29,93.026,0.93458,51.5102,47.356,15.528,2.0,4.0
2022_Arizona,P12,37,33,118.07,93.735,0.93419,55.69,44.48,18.3168,1.0,16.0
2022_UCLA,P12,35,27,115.812,92.22,0.93201,50.6141,47.668,13.24,4.0,16.0
2022_Kentucky,SEC,34,26,119.46,95.444,0.929411,53.144,46.94,16.76,2.0,
2022_Purdue,B10,37,29,121.62,97.586,0.926612,56.55,49.1131,17.5115,3.0,16.0
2022_Iowa,B10,36,26,121.13,97.281,0.926113,53.338,49.7162,13.02,5.0,
2022_Auburn,SEC,34,28,111.73,90.01,0.922714,49.9173,44.14,16.76,2.0,32.0
2022_Texas,B12,34,22,112.524,91.515,0.915115,50.1169,47.047,17.813,6.0,32.0
2022_North_Carolina,ACC,39,29,114.417,93.533,0.911216,51.5102,48.6111,16.449,8.0,2.0
2022_Memphis,Amer,33,22,112.425,92.623,0.902917,52.371,46.637,22.5351,9.0,32.0
2022_Virginia_Tech,ACC,36,23,115.614,95.243,0.902718,55.118,49.0125,17.078,11.0,
2022_Saint_Mary_s,WCC,34,26,109.847,90.511,0.902419,52.759,48.397,17.078,5.0,32.0
2022_Illinois,B10,33,23,111.927,93.025,0.89422,52.566,46.025,18.1151,4.0,32.0
2022_Arkansas,SEC,37,28,108.76,90.712,0.889321,48.624,47.565,16.97,4.0,8.0
2022_LSU,SEC,34,22,106.396,89.78,0.876522,49.4203,45.114,20.7313,6.0,
2022_San_Francisco,WCC,34,24,110.244,93.027,0.874823,53.144,47.149,17.9132,10.0,
2022_Michigan,B10,34,19,113.919,96.262,0.874024,52.176,49.7162,17.3101,11.0,16.0
2022_Connecticut,BE,33,23,113.222,95.952,0.870725,49.6189,46.025,17.3101,5.0,
2022_TCU,B12,34,21,108.663,92.118,0.869726,48.7237,47.463,21.4329,9.0,32.0
2022_San_Diego_St_,MWC,32,23,102.3173,86.92,0.867527,48.7237,44.14,19.3239,8.0,
2022_Indiana,B10,35,21,107.774,91.616,0.865128,50.6141,46.227,17.296,12.0,
2022_Alabama,SEC,33,19,115.216,98.31,0.86113,51.311,49.8168,19.8272,6.0,
2022_Ohio_St_,B10,32,20,115.515,98.5109,0.861131,54.323,47.668,17.188,7.0,32.0
2022_Providence,BE,33,27,111.433,95.546,0.855234,50.0171,46.328,17.078,4.0,16.0
2022_Notre_Dame,ACC,35,24,112.823,96.772,0.854236,54.025,49.0125,15.632,11.0,32.0
2022_Wisconsin,B10,33,25,108.761,93.431,0.851037,47.7276,49.0125,13.02,3.0,32.0
2022_Miami_FL,ACC,37,26,113.621,97.993,0.846738,53.435,52.5284,14.06,10.0,8.0
2022_Loyola_Chicago,MVC,33,25,106.986,92.322,0.844039,55.69,46.94,18.5183,10.0,
2022_Boise_St_,MWC,35,27,107.678,92.924,0.84344,50.7136,48.397,18.4175,8.0,
2022_Michigan_St_,B10,36,23,111.631,96.67,0.840441,52.08,48.182,18.8208,7.0,32.0
2022_Iowa_St_,B12,35,22,101.7184,88.45,0.834543,49.1219,47.979,20.43,11.0,16.0
2022_Davidson,A10,34,27,115.813,101.1148,0.826146,55.69,49.5152,14.816,10.0,
2022_Murray_St_,OVC,34,31,110.045,96.261,0.824147,52.661,48.182,17.188,7.0,32.0
2022_Colorado_St_,MWC,31,25,111.928,98.195,0.819049,54.819,50.1179,15.223,6.0,
2022_Creighton,BE,35,23,104.8123,92.119,0.814951,50.6141,44.912,20.43,9.0,32.0
2022_USC,P12,34,26,108.662,96.259,0.802058,51.2117,44.711,17.9132,7.0,
2022_UAB,CUSA,35,27,111.829,99.112,0.80016,52.855,48.4105,16.449,12.0,
2022_Seton_Hall,BE,32,21,105.4111,93.432,0.799761,47.2288,45.62,17.7121,8.0,
2022_Vermont,AE,34,28,109.748,97.384,0.798063,57.13,47.773,14.713,13.0,
2022_Marquette,BE,32,19,107.773,96.669,0.778568,52.176,47.047,17.296,9.0,
2022_Wyoming,MWC,34,25,107.972,97.383,0.766173,52.371,47.149,17.188,12.0,
2022_Rutgers,B10,32,18,106.692,96.364,0.762675,49.9173,48.6111,17.3101,11.0,
2022_New_Mexico_St_,WAC,34,27,106.01,96.054,0.757276,51.987,45.215,20.8317,12.0,32.0
2022_Chattanooga,SC,35,27,107.381,97.382,0.755977,52.275,49.4143,17.078,13.0,
2022_South_Dakota_St_,Sum,35,30,114.118,103.5209,0.754178,59.21,51.4236,15.325,13.0,
2022_Richmond,A10,37,24,106.985,99.1117,0.707193,51.1119,50.5196,14.39,12.0,32.0
2022_Saint_Peter_s,MAAC,34,22,99.4233,93.128,0.6785104,47.5282,44.27,20.1287,15.0,8.0
2022_Akron,MAC,34,24,105.5109,101.7162,0.6041128,52.566,49.1131,17.7121,13.0,
2022_Colgate,Pat,35,23,107.082,103.2204,0.6024129,55.69,48.912,16.97,14.0,
2022_Georgia_St_,SB,29,18,101.9182,98.4106,0.5988133,44.7346,50.0176,16.657,16.0,
2022_Delaware,CAA,35,22,106.593,103.1202,0.5914135,53.435,49.6156,18.3168,15.0,
2022_Jacksonville_St_,ASun,32,21,104.513,102.2179,0.5639144,53.631,48.182,19.7266,15.0,
2022_Yale,Ivy,31,19,99.4232,97.992,0.5447149,49.7185,48.912,18.3168,14.0,
2022_Montana_St_,BSky,35,27,103.6153,102.5185,0.5307154,53.926,49.4143,18.7198,14.0,
2022_Longwood,BSth,33,25,105.0121,104.5234,0.5129167,50.9128,52.1268,18.8208,14.0,
2022_Cal_St__Fullerton,BW,32,21,102.0179,103.1201,0.4674181,48.9226,51.1226,17.9132,15.0,
2022_Bryant,NEC,32,22,102.9165,104.1223,0.4650184,49.6189,47.668,19.0224,16.0,
2022_Wright_St_,Horz,36,22,104.8124,106.2258,0.4613186,51.798,51.4236,17.7121,16.0,
2022_Norfolk_St_,MEAC,31,24,100.7209,102.9196,0.4372196,50.9128,45.822,20.1287,16.0,
2022_Texas_Southern,SWAC,32,19,96.3288,98.5108,0.4356197,48.2259,45.316,21.4329,16.0,
2022_Texas_A_M_Corpus_Chris,Slnd,35,23,96.4283,102.8192,0.3222252,47.2288,49.0125,19.7266,16.0,
2010_Duke,ACC,40,35,121.81,89.16,0.97311,50.591,43.77,16.516,1.0,1.0
2010_Kansas,B12,36,33,121.02,91.011,0.96342,55.19,43.24,18.788,1.0,32.0
2010_Syracuse,BE,35,30,118.56,91.414,0.95213,57.62,45.949,21.4229,1.0,16.0
